Niche,Typical_Deal_USD,LTV_USD,Gross_Margin_pct,Payment,Sales_Cycle_days,Primary_Channels,Delivery_Difficulty,Gross_Profit_USD,Rec_CAC_Ceiling_USD,StressA_GP_minus_2xCAC,StressB_GP_minus_1_43xCAC,StressC_Cashflow_Risk,StressD_GP_at_-20%,Cushion_0to4,Serviceability_1easy_5hard,Marketability,Econ_score,Cushion_score,Serviceability_score,Marketability_score,Composite_10pt
Craft Spirits Retail Marketing Agencies,48000,144000,74,Retainer,45,LinkedIn/Instagram/Cold Email,2,35520.0,4500.0,26520.0,29085.0,LOW,28416.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Cocktail Bar Consulting Firms,36000,108000,74,Retainer,35,Instagram/LinkedIn/Cold Email,2,26640.0,4500.0,17640.0,20205.0,LOW,21312.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Bartending School Operators,24000,72000,72,Retainer,30,Instagram/Google Ads/Email,2,17280.0,4500.0,8280.0,10845.0,LOW,13824.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Mixology Training Platforms,36000,108000,73,Retainer,35,Instagram/LinkedIn/Email,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Spirits Photography Studios,30000,90000,74,Retainer,30,Instagram/LinkedIn/Email,2,22200.0,4500.0,13200.0,15765.0,LOW,17760.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Alcohol Influencer Marketing Agencies,54000,162000,75,Retainer,40,LinkedIn/Instagram/Cold Email,2,40500.0,4500.0,31500.0,34065.0,LOW,32400.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Podcast Advertising Networks,54000,162000,73,Retainer,45,LinkedIn/Cold Email/Instagram,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Performance Marketing Agencies (Paid Ads),60000,180000,74,Retainer,40,LinkedIn/Cold Email/Instagram,2,44400.0,4500.0,35400.0,37965.0,LOW,35520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
SEO & Content Marketing Agencies,54000,162000,74,Retainer,40,LinkedIn/Cold Email/Content,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Email Marketing Platform Companies,54000,162000,74,Retainer,45,LinkedIn/Cold Email,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Marketing Automation Consultants,54000,162000,75,Retainer,45,LinkedIn/Cold Email,2,40500.0,4500.0,31500.0,34065.0,LOW,32400.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Brand Strategy Boutiques,60000,180000,76,Retainer,50,LinkedIn/Cold Email/Instagram,2,45600.0,4500.0,36600.0,39165.0,LOW,36480.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Naming & Identity Design Firms,42000,126000,76,Retainer,40,LinkedIn/Instagram/Cold Email,2,31920.0,4500.0,22920.0,25485.0,LOW,25536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Packaging Design Agencies,42000,126000,75,Retainer,40,Instagram/LinkedIn/Cold Email,2,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Social Media Management Agencies,42000,126000,73,Retainer,35,LinkedIn/Instagram/Cold Email,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Reputation Management Firms,54000,162000,74,Retainer,45,LinkedIn/Cold Email/Google Ads,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Public Relations Agencies (Mid-Market),54000,162000,75,Retainer,45,LinkedIn/Cold Email/Instagram,2,40500.0,4500.0,31500.0,34065.0,LOW,32400.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Urgent Care Franchise Operators,60000,180000,74,Retainer,50,LinkedIn/Google Ads/Instagram,2,44400.0,4500.0,35400.0,37965.0,LOW,35520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Medical Aesthetics Training Academies,36000,108000,74,Retainer,35,Instagram/LinkedIn/Email,2,26640.0,4500.0,17640.0,20205.0,LOW,21312.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Aquavit Producers,42000,126000,71,Retainer,45,Instagram/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Craft Absinthe Producers,42000,126000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Craft Grappa Producers,42000,126000,71,Retainer,45,Instagram/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Meaderies,36000,108000,70,Retainer,40,Instagram/LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Cannabis-Infused Beverage Brands,60000,180000,74,Retainer,45,Instagram/LinkedIn/Niche Pubs,3,44400.0,4500.0,35400.0,37965.0,LOW,35520.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Hotel Bars & Beverage Programs,48000,144000,70,Retainer,50,LinkedIn/Instagram/Cold Email,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Spirits Auction Houses,48000,144000,72,Retainer,50,LinkedIn/Email/Instagram,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Spirits Competition Organizers,42000,126000,73,Retainer,45,LinkedIn/Cold Email/Instagram,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Nano Distilleries,24000,72000,70,Retainer,30,Instagram/Facebook/Email,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Alcohol Delivery App Companies,72000,216000,74,Retainer,55,LinkedIn/Instagram/Cold Email,3,53280.0,4500.0,44280.0,46845.0,LOW,42624.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Craft Spirits Crowdfunding Platforms,54000,162000,74,Retainer,50,LinkedIn/Instagram/Email,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,3,10.0,10.0,8.0,6.0,8.8
